,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,E
90,0.6364,0.0,0.1293,0.0327,0.0353,0.0,0.0,0.1383,0.0279999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.4000015258789
91,0.65,0.0,0.0,0.0,0.05,0.0,0.0,0.03,0.12,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.70000076293945
92,0.56,0.24,0.04,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5999984741211
93,0.7731999999999999,0.0,0.0,0.0,0.0,0.0932,0.0,0.0576999999999999,0.0759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.59999847412108
94,0.461,0.0,0.0,0.0,0.269,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,87.99999999999999
95,0.7888,0.0,0.0,0.0,0.0,0.0951,0.0,0.0,0.1161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79999923706055
96,0.4174582541745825,0.0950904909509049,0.0,0.0,0.2435756424357564,0.0,0.0,0.2202779722027797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0235976402359764,0.0,74.0
97,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.00000000000001
98,0.615,0.05,0.05,0.0,0.055,0.14,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.19999694824219
99,0.2264,0.0,0.0,0.0,0.0,0.0,0.0,0.0956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6779999999999999,0.0,0.0,0.0,70.30000305175784
100,0.65,0.0,0.065,0.061,0.0,0.0,0.065,0.01,0.0,0.02,0.102,0.0,0.0,0.0,0.0,0.024,0.0,0.003,0.0,0.0,89.0
101,0.5436,0.0345,0.0338,0.0687,0.0252,0.0,0.1339,0.0576,0.0457,0.0,0.0,0.0,0.0,0.0,0.0055,0.027,0.0,0.0245,0.0,0.0,87.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,60.69999999999996
103,0.0,0.7000000000000001,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.84
104,0.645,0.0,0.125,0.0,0.0,0.0,0.127,0.0579999999999999,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,82.59999847412108
105,0.58,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,97.69999694824222
106,0.4,0.0,0.15,0.15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,109.0
107,0.5031,0.0611999999999999,0.0576999999999999,0.0,0.0,0.0,0.0498,0.1255,0.1061999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0964999999999999,0.0,0.0,0.0,0.0,77.0
108,0.6,0.0,0.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.80000305175781
109,0.7214721472147214,0.1735173517351735,0.0226022602260226,0.0,0.0,0.0,0.0192019201920192,0.0062006200620062,0.057005700570057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.59999847412109
110,0.6890000000000001,0.05,0.103,0.0,0.0,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.8000030517578
111,0.66,0.05,0.12,0.08,0.03,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
112,0.6611132222644454,0.0932018640372807,0.1084021680433608,0.0131002620052401,0.0945018900378007,0.0,0.0,0.0,0.0,0.0,0.0288005760115202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
113,0.6455839259103684,0.1550201526198406,0.0994129236800784,0.0,0.0991128846750077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.00000000000001
114,0.65,0.0,0.065,0.08,0.0,0.0,0.084,0.05,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,83.30000305175781
115,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.19999694824219
116,0.677,0.0,0.0807,0.0,0.0,0.0817,0.0,0.1589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5999984741211
117,0.4232576742325767,0.4262573742625738,0.0,0.0,0.0,0.0,0.0,0.1504849515048495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.09999847412109
118,0.74,0.0,0.01,0.03,0.1,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2
119,0.0,0.0,0.0,0.167,0.0,0.0,0.3329999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,66.1
120,0.3923,0.1302,0.0089,0.045,0.0323,0.2601,0.0,0.0,0.0,0.0,0.1311999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.49999999999997
121,0.6493000000000001,0.0321,0.0857,0.0319,0.0318,0.0426,0.0,0.0,0.0,0.1266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
122,0.78,0.0,0.02,0.0,0.05,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5
123,0.7768223177682231,0.0213978602139786,0.0666933306669333,0.0272972702729727,0.066993300669933,0.0138986101389861,0.0,0.0,0.0,0.0,0.0268973102689731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.4000015258789
124,0.15,0.6,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.8
125,0.8109999999999999,0.0746,0.0,0.0,0.0115,0.0139,0.0,0.0628,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.62
126,0.6,0.0,0.11,0.16,0.0,0.0,0.01,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,84.0
127,0.6787000000000001,0.0794,0.1085,0.0343,0.0185,0.0225,0.0,0.0,0.0,0.0,0.0366999999999999,0.0,0.0,0.0,0.0,0.013,0.0,0.0084,0.0,0.0,74.30000305175781
128,0.0,0.0,0.115,0.0,0.0,0.1035,0.2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.579,0.0,67.19999694824219
129,0.57,0.2,0.08,0.0,0.11,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,82.9000015258789
130,0.79,0.0,0.02,0.04,0.01,0.0,0.0,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.8000030517578
131,0.65,0.0,0.06,0.055,0.055,0.0,0.05,0.01,0.0,0.02,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,93.0
132,0.66,0.0,0.075,0.09,0.06,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,88.0
133,0.7224277572242777,0.0276972302769723,0.1040895910408959,0.0,0.0,0.0,0.0860913908609139,0.0518948105189481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0
134,0.67,0.0,0.08,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0
135,0.6281,0.0289999999999999,0.1572,0.0032,0.0,0.0,0.0681,0.0892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0247,0.0,74.1
136,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.68
137,0.1057,0.0,0.0,0.0,0.0,0.0,0.0,0.1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7495999999999999,0.039,0.0,0.0,69.50000000000001
138,0.6633,0.0,0.1038,0.0554,0.0,0.0,0.0,0.1563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200999999999999,68.4000015258789
139,0.7273,0.0,0.0,0.0533999999999999,0.0603999999999999,0.008,0.0,0.0972999999999999,0.0535999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.19999694824219
140,0.64,0.0,0.12,0.03,0.01,0.0,0.144,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,86.69999694824219
141,0.6574,0.0,0.0599,0.0,0.0529,0.1399,0.0,0.0,0.0,0.0,0.0899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.6
142,0.0,0.0,0.0,0.0,0.305,0.0,0.0,0.165,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,64.0999984741211
